Wire length data points,,Min Fitness ,Ave Fitness,Max Fitness
165.1690077,,17.481,149.865,253.358
162.9565829,,17.481,134.695,246.837
136.6795908,,17.481,124.152,243.682
91.16158237,,13.965,109.235,244.09
123.8854615,,8.667,95.683,244.119
102.3347912,,6.036,83.091,239.136
151.8034162,,6.036,70.095,203.141
154.4069431,,5.311,58.569,181.84
,,4.966,47.094,159.898
133.5128922,,4.966,47.094,140.175
141.912826,,4.186,32.051,119.523
113.1604408,,4.186,25.593,137.093
134.1213534,,4.186,19.445,103.638
156.6617783,,4.186,15.064,170.396
123.0585613,,4.186,12.506,79.491
108.5625559,,4.186397074,,
133.5600022,,,,
109.0377498,,,,
107.7125761,,,,
173.3345643,,,,
140.606099,,,,
124.4145151,,,,
113.2895618,,,,
148.0954969,,,,
134.1927059,,,,
155.8328901,,,,
96.4343823,,,,
116.9173876,,,,
140.9585916,,,,
126.6865157,,,,
124.4506153,,,,
144.4768052,,,,
107.031845,,,,
121.3162086,,,,
152.5465764,,,,
134.7203531,,,,
131.252669,,,,
100.4518085,,,,
141.9994506,,,,
112.3079289,,,,
129.6544287,,,,
109.2671606,,,,
136.9412141,,,,
119.1092712,,,,
130.3953038,,,,
143.29918,,,,
84.53726359,,,,
146.3197893,,,,
130.9975497,,,,
153.6313782,,,,
99.39584697,,,,
149.751089,,,,
129.2108762,,,,
135.490249,,,,
132.1703419,,,,
191.4538556,,,,
136.0899536,,,,
174.5937963,,,,
128.3817103,,,,
125.5599054,,,,
155.4521524,,,,
106.5657644,,,,
97.04891238,,,,
160.5358574,,,,
120.4363597,,,,
161.0576195,,,,
144.9567646,,,,
99.63326377,,,,
156.0981896,,,,
107.6833604,,,,
119.3825463,,,,
169.3800391,,,,
103.9204401,,,,
145.7084947,,,,
104.9547688,,,,
114.6356813,,,,
109.9290891,,,,
161.1515433,,,,
176.0577232,,,,
113.824667,,,,
99.66355508,,,,
152.1842663,,,,
143.3497468,,,,
110.7870565,,,,
85.01725018,,,,
166.3247408,,,,
133.5849814,,,,
117.5641923,,,,
134.8052353,,,,
162.5562923,,,,
88.12676594,,,,
154.5762845,,,,
124.8295546,,,,
96.0997935,,,,
133.3055088,,,,
144.7240589,,,,
122.5310549,,,,
106.1124105,,,,
129.8144554,,,,
151.8704486,,,,
108.646883,,,,
98.77132375,,,,
139.3514848,,,,
125.2652658,,,,
121.7689147,,,,
108.3579359,,,,
132.0691574,,,,
103.1038305,,,,
114.2040467,,,,
161.7634872,,,,
145.5292906,,,,
154.1383936,,,,
115.4720768,,,,
148.7879578,,,,
104.195442,,,,
119.8253174,,,,
133.9443623,,,,
152.0414234,,,,
102.8418591,,,,
129.3754923,,,,
142.0189042,,,,
142.1574964,,,,
89.0495891,,,,
108.930842,,,,
189.4649168,,,,
134.951679,,,,
93.90266313,,,,
94.12598192,,,,
109.4457677,,,,
125.7605157,,,,
147.3483583,,,,
130.9632962,,,,
104.6535497,,,,
159.8225905,,,,
111.2868464,,,,
135.5900219,,,,
140.0345788,,,,
140.8504148,,,,
141.1757315,,,,
115.718925,,,,
85.56752958,,,,
124.5577323,,,,
123.8064831,,,,
177.6887259,,,,
132.9722044,,,,
103.320307,,,,
143.5789658,,,,
95.84364034,,,,
111.0664158,,,,
152.6354575,,,,
132.2012793,,,,
106.7051403,,,,
155.3703188,,,,
122.7824376,,,,
171.9522265,,,,
129.2185887,,,,
170.3897012,,,,
136.9695701,,,,
141.3091103,,,,
161.1293275,,,,
113.5773058,,,,
113.1256781,,,,
108.8352614,,,,
166.6512206,,,,
154.6416393,,,,
156.6897221,,,,
129.7404018,,,,
162.5564852,,,,
153.1059396,,,,
157.9340365,,,,
141.7195123,,,,
129.6089514,,,,
139.1539,,,,
137.5046083,,,,
127.7097465,,,,
198.933013,,,,
145.1821092,,,,
145.6758902,,,,
165.1255389,,,,
137.6714482,,,,
172.0381193,,,,
151.0373183,,,,
124.4685559,,,,
113.9171344,,,,
130.1145257,,,,
182.3886823,,,,
146.4235894,,,,
137.1874921,,,,
146.5044376,,,,
115.4875278,,,,
110.865202,,,,
146.3106164,,,,
143.1754635,,,,
133.6786956,,,,
132.7918052,,,,
154.3499896,,,,
112.2976459,,,,
137.730554,,,,
